seq_id,label,abs_heading_deg,abs_lateral_m
003b62820d0e9345eb025de35b046999,straight,0.6484701,0.17871094
0042b483892db48907e04dbf69a049f6,left-turn,32.003155,2.0651855
007083e22896d1fc775a6107ccd0b73e,left-turn,30.055601,10.7948
00a858a5e34819152ec72183524388c8,straight,0.2193129,0.001953125
00f20fd34a1ffd4ced354f04eea88494,straight,1.041948,1.1054688
014d03dc9441ee1e2a5d06f9c187792b,right-turn,30.665646,1.7125511
0193495a4e5ac512b09165d574247a20,lane-change-right,4.3356214,4.1621094
01a189e62a7f78c2e7ba9d7355ea0ed9,lane-change-right,7.423353,2.5915527
01b9b90b0f7980a89e552db1796366db,straight,0.16988203,0.49560547
01ea7ffe053360e23299f200ae571a2b,straight,0.260311,0.01171875
0264986e2919bc76c11438b12d0c5c58,straight,0.24974738,0.4375
0271d4de361e98d810da73f755daa4e0,straight,0.11016057,0.0038146973
02a177b78e01f1b4addacfaaba40287e,straight,1.2278881,0.48547006
02c97dc5bf4ec64f0a8a17d3c48a37d0,lane-change-left,12.365886,2.5114746
02e3dbba13732a15943f108b8de3634c,lane-change-left,8.350102,2.5078125
02f54c9ba4400eb41bc4602dbc2264d6,left-turn,30.614927,2.4389648
032e50866c794f199c62aa9ee17de3c6,right-turn,30.633883,1.1816406
03331cbc7ddbf767dc2fd374c2cc0684,straight,0.28587627,0.41796875
033e2967abfcd856bd82115ce8a078f7,lane-change-left,6.1376753,2.6191406
034fe280e4774e0c21db77baabf46a4f,straight,1.2889193,0.0211792
035a06187f561af78bda972fa8a85337,lane-change-left,1.3838409,3.7962036
037df340bf4b650fbb2cc036f9cab8be,lane-change-left,25.378717,9.5876465
0387cf79ac0e52893c1c44c0c9f54beb,lane-change-left,9.126582,2.6027832
03a45b0b1b4fa93d39c16dff004065f3,left-turn,30.275024,3.305664
03aa16b749340a29daf2564e772eec4a,straight,0.06448223,0.0031738281
03f7598e2e2d974de3031dab52643c36,right-turn,30.02985,2.4560547
041c7207146c48031321b50a0308a469,right-turn,30.333647,7.734497
047ac5eb5a49120be3f5ef8f41a840ad,left-turn,69.45868,16.000977
0490105184974595c9190e853f0c93f2,left-turn,32.349968,2.1113281
051438138504de2b3f7a5e00c82d1d93,straight,0.28887168,0.021484375
051b4464459ec44e35fe60785ee16a85,straight,0.0665586,0.0007324219
051ce5c30a4149e2e888f391cd01a211,straight,1.5978549,0.14648438
052646693411c39c146d51b5cb35de04,straight,0.22662951,0.14746094
053167f81996a833d06a5ff6973def32,straight,4.03373,0.5566406
0567a6190c726625fb02b1ee4379af38,lane-change-right,15.04244,2.6342773
0571eedb322b56343559983c6837c928,lane-change-right,18.02086,6.4257812
0573fd7234396291f2218b58551973a8,straight,0.24970722,0.018676758
05880d1cc5c996ae371bd53bb8a941c3,right-turn,30.494886,1.8330078
0599203ec8bf2f8d74924f6202673add,left-turn,30.384857,1.2878418
05a8f67d0b1d83191ca7334cbed19e66,right-turn,31.186956,1.3374023
05bbca2efe4f891f6302a06312c59196,straight,3.66815,0.5235596
05c8e9f423c12a6c2d49ec46f042abd9,lane-change-left,16.392776,3.2060547
05d15eac0d51c16c8eb6bf43c23c705e,straight,0.8700643,0.18310547
060668285a1bf0842660932dfbc7b135,lane-change-right,5.0409627,2.5332031
063ad136f168a4e7f34c9210250612e7,straight,4.9098105,2.2797852
066358b1dd3cfe763a7f71fb805833f8,straight,2.0583076,0.50927734
068cc278d6233a3dc18967eac693015c,right-turn,32.48419,3.3116875
06a7410008b8aac7b106df7252a983f0,straight,0.8566406,0.3017578
06df79aee12a29cd02a8bafe1e1e06eb,straight,0.05544566,0.028320312
06e105fe87768f913f1b3e9bda2895bc,straight,0.267105,0.024719238
06f8dc6ed52ddeba0ee8a6811924dcb6,straight,0.24195568,0.045532227
072ae5a4543eee1ed73e95bc93d8c243,right-turn,31.8156,0.83825684
0740a98ecd0fd75192ae56d8c86913da,straight,0.63627774,0.123535156
07536cb8f2c94b945b140531dfab6660,straight,1.5375682,0.7258301
0766fe2271f1c36b2a8d73885c913731,right-turn,31.443409,1.675293
078c12fa97e918d53e39a2b482ea3454,straight,0.9616955,0.08984375
