sequence_id,label,day_night,first_frame_brightness_score
003b62820d0e9345eb025de35b046999,straight,day,0.5952988862991333
0042b483892db48907e04dbf69a049f6,left-turn,day,0.6018630862236023
007083e22896d1fc775a6107ccd0b73e,left-turn,day,0.6925520300865173
00a858a5e34819152ec72183524388c8,straight,day,0.9000556468963623
00f20fd34a1ffd4ced354f04eea88494,straight,night,0.036946851760149
014d03dc9441ee1e2a5d06f9c187792b,right-turn,day,0.5581395030021667
0193495a4e5ac512b09165d574247a20,lane-change-right,day,0.8850984573364258
01a189e62a7f78c2e7ba9d7355ea0ed9,lane-change-right,day,0.6433231830596924
01b9b90b0f7980a89e552db1796366db,straight,day,0.7617250680923462
01ea7ffe053360e23299f200ae571a2b,straight,day,0.6644492149353027
0264986e2919bc76c11438b12d0c5c58,straight,night,0.040490709245204926
0271d4de361e98d810da73f755daa4e0,straight,day,0.5379441380500793
02a177b78e01f1b4addacfaaba40287e,straight,night,0.09739387780427933
02c97dc5bf4ec64f0a8a17d3c48a37d0,lane-change-left,day,0.8456538915634155
02e3dbba13732a15943f108b8de3634c,lane-change-left,day,0.6665085554122925
02f54c9ba4400eb41bc4602dbc2264d6,left-turn,day,0.7271369099617004
032e50866c794f199c62aa9ee17de3c6,right-turn,day,0.8651641607284546
03331cbc7ddbf767dc2fd374c2cc0684,straight,day,0.9435229897499084
033e2967abfcd856bd82115ce8a078f7,lane-change-left,night,0.06358547508716583
034fe280e4774e0c21db77baabf46a4f,straight,day,0.9131749868392944
035a06187f561af78bda972fa8a85337,lane-change-left,night,0.03906121477484703
037df340bf4b650fbb2cc036f9cab8be,lane-change-left,day,0.6856227517127991
0387cf79ac0e52893c1c44c0c9f54beb,lane-change-left,day,0.45980173349380493
03a45b0b1b4fa93d39c16dff004065f3,left-turn,day,0.6863002181053162
03aa16b749340a29daf2564e772eec4a,straight,day,0.8756838440895081
03f7598e2e2d974de3031dab52643c36,right-turn,night,0.11431565135717392
041c7207146c48031321b50a0308a469,right-turn,day,0.7680808901786804
047ac5eb5a49120be3f5ef8f41a840ad,left-turn,day,0.6416415572166443
0490105184974595c9190e853f0c93f2,left-turn,day,0.8492457866668701
051438138504de2b3f7a5e00c82d1d93,straight,day,0.6653620004653931
051b4464459ec44e35fe60785ee16a85,straight,day,0.6449216604232788
051ce5c30a4149e2e888f391cd01a211,straight,day,0.49013087153434753
052646693411c39c146d51b5cb35de04,straight,day,0.9225307703018188
053167f81996a833d06a5ff6973def32,straight,day,0.5145505666732788
0567a6190c726625fb02b1ee4379af38,lane-change-right,night,0.048631273210048676
0571eedb322b56343559983c6837c928,lane-change-right,day,0.6331062316894531
0573fd7234396291f2218b58551973a8,straight,day,0.6321658492088318
05880d1cc5c996ae371bd53bb8a941c3,right-turn,day,0.8977043628692627
0599203ec8bf2f8d74924f6202673add,left-turn,day,0.6429838538169861
05a8f67d0b1d83191ca7334cbed19e66,right-turn,night,0.11796645075082779
05bbca2efe4f891f6302a06312c59196,straight,night,0.040855567902326584
05c8e9f423c12a6c2d49ec46f042abd9,lane-change-left,night,0.08712048828601837
05d15eac0d51c16c8eb6bf43c23c705e,straight,night,0.09342621266841888
060668285a1bf0842660932dfbc7b135,lane-change-right,day,0.5664954781532288
063ad136f168a4e7f34c9210250612e7,straight,day,0.7177866101264954
066358b1dd3cfe763a7f71fb805833f8,straight,day,0.9367371201515198
068cc278d6233a3dc18967eac693015c,right-turn,day,0.7233219146728516
06a7410008b8aac7b106df7252a983f0,straight,day,0.5018145442008972
06df79aee12a29cd02a8bafe1e1e06eb,straight,day,0.6431979537010193
06e105fe87768f913f1b3e9bda2895bc,straight,day,0.4948037266731262
06f8dc6ed52ddeba0ee8a6811924dcb6,straight,day,0.5475522875785828
072ae5a4543eee1ed73e95bc93d8c243,right-turn,day,0.9333639144897461
0740a98ecd0fd75192ae56d8c86913da,straight,day,0.8551114201545715
07536cb8f2c94b945b140531dfab6660,straight,day,0.4454438388347626
0766fe2271f1c36b2a8d73885c913731,right-turn,day,0.7272142767906189
078c12fa97e918d53e39a2b482ea3454,straight,night,0.04246808588504791
078d73a8fff0d0e573dab5c0d27b2aed,lane-change-left,day,0.6324853897094727
07ad36e096511357c816e555ce8cd6aa,right-turn,day,0.7243115305900574
07e88a49162f5d90210bd0dc59c1eb70,straight,night,0.15804722905158997
08356abe36fdacc7c6402c18b633f886,lane-change-left,day,0.6915570497512817
0853fafd01f5f063eacc2a41491cab9f,left-turn,night,0.041893474757671356
0856a3f1d05e3aa70d8284d5c67d5f03,right-turn,day,0.6172839999198914
08720a9a33dba798129d79b0762e1206,straight,day,0.6183345317840576
0886462cb259dd955aaa3e123c2516b5,lane-change-right,day,0.6286622285842896
088b7a041cb2ca337d01497815e62813,straight,day,0.7563401460647583
08a0e63da36bd3fade24514337eca65c,straight,night,0.04443046823143959
08afa1b77e9acb1bec522a086d54310c,lane-change-right,night,0.05481560528278351
08c8449ce47849cfe13f5e6f2bbb7ae5,lane-change-right,night,0.06867560744285583
08e117dde1161b59e021d9a7f6d182e4,right-turn,day,0.569929301738739
090bf2849b24bba653d15629e89557d1,straight,night,0.030606821179389954
09459557d8b2cbcf65607f171cb58541,right-turn,day,0.7426309585571289
098b425586b45f255163e72284636aac,left-turn,day,0.6123568415641785
099d23d258b298bb20e46a12dd21d7d3,straight,day,0.7262434363365173
09a0015da9bb65d3a40ae5e0f01fc210,straight,day,0.7164018750190735
09a94ac4ad95bdc5a454cf9d8422c08f,straight,day,0.7662951946258545
09b9e2833486794e620627fe91430157,left-turn,day,0.9599609971046448
09c15e52bcfb74a01a21e746c4b8125d,straight,day,0.7647331357002258
09ce381ac908ffaaf48fb1447a9f6c32,straight,day,0.6445044279098511
09eb40901297db2745c2837e99a8f46d,lane-change-right,night,0.07264768332242966
0a180b3d6dd4512c4e661844428ba2a2,straight,night,0.07445992529392242
0a1934340d114e3b393d61f5d519edab,lane-change-right,day,0.6866852641105652
0a1d91e45dc14f2d5e5f8492d62bfbec,lane-change-left,day,0.808523416519165
0a34a6c5210e3349c7b0c2564157826c,right-turn,day,0.6638290882110596
0a74c27cf4e33634ee32825639fd4a83,lane-change-left,day,0.6091712713241577
0abbef08380d04c0a07e89ed3c132cd0,straight,night,0.033683791756629944
0b09b98fd05ef06fd26d638d017a643f,left-turn,night,0.041796401143074036
0b20898674e947547e253872f2a633d4,right-turn,night,0.09762385487556458
0b2a5e3955c976230320ea4802a316f0,right-turn,day,0.8283752799034119
0b332b2cd3f8e82327d98aa7c9a04c5e,straight,day,0.594279408454895
0b5f55be89855c7caa9ce2e54fdfcda7,left-turn,night,0.09883342683315277
0b7df2d8edc6d5b92eb1d2cbf38c04a2,lane-change-left,day,0.6574903130531311
0b8097d37ac2cc7a832e2978f431f843,straight,day,0.5125354528427124
0b860fa8c13bc787e68cc44765b8064b,left-turn,day,0.7919848561286926
0baab512943ef37ae2904b8c31d6b1d6,right-turn,day,0.6099147200584412
0bd5fa653c6a1443f3a6efe08412506e,straight,night,0.047632358968257904
0bdcc1da851d8d3741b7c20b60e7e6c6,right-turn,day,0.5323383212089539
0bdf3d5fb2d9d813c8e8ea93efca1fb8,lane-change-right,night,0.053481727838516235
